OG_ID	gene_symbol	analysis_relax_relaxed
OG0010755	MGA	relaxed
OG0010756	GPCPD1	relaxed
OG0010766	BDH2	relaxed
OG0010767	CISD2	relaxed
OG0010768	CFAP36	relaxed
OG0010785	PEPD	relaxed
OG0010787	GPR149	relaxed
OG0010789	LRRC49	relaxed
OG0010792	COTL1	relaxed
OG0010794	DNER	relaxed
OG0010807	DNTTIP2	relaxed
OG0010808	OCSTAMP	relaxed
OG0010809	DALRD3	relaxed
OG0010810	MGLL	relaxed
OG0010811	ANAPC7	relaxed
OG0010814	NTPCR	relaxed
OG0010815	ABTB1	relaxed
OG0010816	ACER1	relaxed
OG0010825	SUPT4H1	relaxed
OG0010841	RSAD1	relaxed
OG0010853	PPT1	relaxed
OG0010855	RMI2	relaxed
OG0010862	UTP23	relaxed
OG0010864	RHBDD3	relaxed
OG0010873	C9orf117	relaxed
OG0010876	QSOX2	relaxed
OG0010893	RADIL	relaxed
OG0010900	ERCC5	relaxed
OG0010901	MRPL39	relaxed
OG0010903	TXNL4B	relaxed
OG0010904	SETDB2	relaxed
OG0010906	CEP97	relaxed
OG0010907	EED	relaxed
OG0010915	TAF5L	relaxed
OG0010924	MBTPS2	relaxed
OG0010933	TOPBP1	relaxed
OG0010934	LZTFL1	relaxed
OG0010935	INVS	relaxed
OG0010941	PHF1	relaxed
OG0010945	XRCC1	relaxed
OG0010947	PPP1R7	relaxed
OG0010949	NSUN4	relaxed
OG0010957	SIRT2	relaxed
OG0010959	MMP28	relaxed
OG0010960	GFM1	relaxed
OG0010964	MBP	relaxed
OG0010975	ZER1	relaxed
OG0010976	TMPRSS15	relaxed
OG0010977	IK	relaxed
OG0010991	EXOSC7	relaxed
OG0010994	MTG2	relaxed
OG0010997	ACP1	relaxed
OG0010998	CMTR1	relaxed
OG0011000	PAN2	relaxed
OG0011002	ASB8	relaxed
OG0011013	CCM2L	relaxed
OG0011016	TMEM27	relaxed
OG0011026	GLYCTK	relaxed
OG0011031	CBFA2T2	relaxed
OG0011032	SP7	relaxed
OG0011035	SETD5	relaxed
OG0011045	LRRC40	relaxed
OG0011048	LRTM2	relaxed
OG0011057	CHST11	relaxed
OG0011063	PRDM4	relaxed
OG0011065	KMT2E	relaxed
OG0011068	FDX1L	relaxed
OG0011069	KIAA0430	relaxed
OG0011075	NUDC	relaxed
OG0011078	SMAP2	relaxed
OG0011085	C19orf43	relaxed
OG0011097	CCNG1	relaxed
OG0011101	MFSD7	relaxed
OG0011104	LRRC56	relaxed
OG0011109	MON2	relaxed
OG0011118	MSTO1	relaxed
OG0011119	ALDH7A1	relaxed
OG0011131	DDHD2	relaxed
OG0011134	PPWD1	relaxed
OG0011138	CENPT	relaxed
OG0011141	RPL13	relaxed
OG0011143	USP47	relaxed
OG0011160	WBP4	relaxed
OG0011161	LUZP1	relaxed
OG0011162	GNPNAT1	relaxed
OG0011166	KHK	relaxed
OG0011168	DNAAF2	relaxed
OG0011170	SCFD1	relaxed
OG0011172	RCOR1	relaxed
OG0011178	IVD	relaxed
OG0011181	KTN1	relaxed
OG0011182	ISCA2	relaxed
OG0011184	ZBTB24	relaxed
OG0011185	FUCA2	relaxed
OG0011195	GALE	relaxed
OG0011197	QRSL1	relaxed
OG0011204	PSMC5	relaxed
OG0011216	OGFOD3	relaxed
OG0011219	CPPED1	relaxed
OG0011223	AARSD1	relaxed
OG0011230	PCDH19	relaxed
OG0011231	ABCB7	relaxed
OG0011246	PDGFD	relaxed
OG0011252	PIH1D2	relaxed
OG0011257	ISPD	relaxed
OG0011261	EHHADH	relaxed
OG0011280	FANCB	relaxed
OG0011291	LYRM1	relaxed
OG0011293	TELO2	relaxed
OG0011298	BCKDHB	relaxed
OG0011300	KIAA0408	relaxed
OG0011304	SCMH1	relaxed
OG0011306	CNOT10	relaxed
OG0011312	NAT14	relaxed
OG0011325	WRNIP1	relaxed
OG0011341	MTM1	relaxed
OG0011344	ZDHHC21	relaxed
OG0011351	BLVRA	relaxed
OG0011352	PIGK	relaxed
OG0011362	KLHL18	relaxed
OG0011371	DCAF5	relaxed
OG0011377	PDSS2	relaxed
OG0011382	EIF3L	relaxed
OG0011388	DLK2	relaxed
OG0011398	GALNT2	relaxed
OG0011403	LSM6	relaxed
OG0011404	MMAA	relaxed
OG0011417	CARS	relaxed
OG0011420	UBXN1	relaxed
OG0011425	CD40LG	relaxed
OG0011440	PDPR	relaxed
OG0011453	NBAS	relaxed
OG0011454	DISP1	relaxed
OG0011463	POLR2B	relaxed
OG0011474	SLC35B1	relaxed
OG0011479	GPATCH8	relaxed
OG0011481	RPL23	relaxed
OG0011484	PIH1D1	relaxed
OG0011487	FTCD	relaxed
OG0011490	CAPZB	relaxed
OG0011496	FAM213B	relaxed
OG0011497	GMPPB	relaxed
OG0011500	TAMM41	relaxed
OG0011506	CTSO	relaxed
OG0011508	C1QTNF2	relaxed
OG0011512	PMF1-BGLAP	relaxed
OG0011516	C11orf49	relaxed
OG0011519	TMEM178A	relaxed
OG0011520	HARBI1	relaxed
OG0011540	PRDM13	relaxed
OG0011553	HPS6	relaxed
OG0011558	ZNF592	relaxed
OG0011565	SKIDA1	relaxed
OG0011576	KIAA2013	relaxed
OG0011577	KLHDC7A	relaxed
OG0011635	FERMT1	relaxed
OG0011636	L3HYPDH	relaxed
OG0011639	CEBPZ	relaxed
OG0011640	CCDC25	relaxed
OG0011652	PGM2	relaxed
OG0011655	LEO1	relaxed
OG0011657	LEKR1	relaxed
OG0011658	DHX36	relaxed
OG0011667	PRDM6	relaxed
OG0011682	RABEPK	relaxed
OG0011685	STIP1	relaxed
OG0011688	ZNHIT3	relaxed
OG0011692	RNF214	relaxed
OG0011694	QTRT1	relaxed
OG0011697	RECQL4	relaxed
OG0011699	NUDCD1	relaxed
OG0011709	SAMD12	relaxed
OG0011711	ASCC2	relaxed
OG0011712	SNRNP27	relaxed
OG0011713	GNB1L	relaxed
OG0011733	MVK	relaxed
OG0011747	NTHL1	relaxed
OG0011762	HPN	relaxed
OG0011765	EIF3K	relaxed
OG0011769	RPAP2	relaxed
OG0011775	LACTB2	relaxed
OG0011780	DOLK	relaxed
OG0011795	AMACR	relaxed
OG0011799	HEATR6	relaxed
OG0011808	ZNF341	relaxed
OG0011820	TUBGCP5	relaxed
OG0011821	CRBN	relaxed
OG0011834	KLHL30	relaxed
OG0011852	ACOX1	relaxed
OG0011855	CYP27C1	relaxed
OG0011862	GTF2H4	relaxed
OG0011870	MYBPC1	relaxed
OG0011872	PMPCB	relaxed
OG0011873	MTPN	relaxed
OG0011881	SLC35A4	relaxed
OG0011882	SLC35B4	relaxed
OG0011884	NEIL1	relaxed
OG0011888	AP4E1	relaxed
OG0011892	CYP51A1	relaxed
OG0011908	PPIL6	relaxed
OG0011910	CPSF2	relaxed
OG0011915	ORAOV1	relaxed
OG0011917	TK1	relaxed
OG0011919	EFTUD1	relaxed
OG0011920	RTCA	relaxed
OG0011925	ELTD1	relaxed
OG0011927	DDX49	relaxed
OG0011931	MRPL45	relaxed
OG0011935	SLC6A5	relaxed
OG0011936	ELP4	relaxed
OG0011941	CCDC175	relaxed
OG0011951	DACT1	relaxed
OG0011952	CRLS1	relaxed
OG0011959	RLF	relaxed
OG0011968	MRPL27	relaxed
OG0011969	FH	relaxed
OG0011971	Tha1	relaxed
OG0011976	DAGLB	relaxed
OG0011980	G6PC3	relaxed
OG0011994	ZFP36	relaxed
OG0012001	MFRP	relaxed
OG0012003	HSPA13	relaxed
OG0012018	TSC22D1	relaxed
OG0012026	PHGDH	relaxed
OG0012028	DNAJC10	relaxed
OG0012029	CLYBL	relaxed
OG0012032	ABCB8	relaxed
OG0012033	DCAKD	relaxed
OG0012035	NLRC3	relaxed
OG0012038	TAF2	relaxed
OG0012049	DSCC1	relaxed
OG0012050	RUSC1	relaxed
OG0012052	RIIAD1	relaxed
OG0012056	ZNF521	relaxed
OG0012064	SLX1A	relaxed
OG0012067	D2HGDH	relaxed
OG0012068	RNF32	relaxed
OG0012069	SCP2	relaxed
OG0012074	MNAT1	relaxed
OG0012082	RRH	relaxed
OG0012086	GBF1	relaxed
OG0012087	INPP5F	relaxed
OG0012091	SFXN4	relaxed
OG0012098	TTC17	relaxed
OG0012103	GUF1	relaxed
OG0012104	BCAR1	relaxed
OG0012109	EIF2A	relaxed
OG0012120	EXOC8	relaxed
OG0012122	RPS6KC1	relaxed
OG0012123	TBC1D7	relaxed
OG0012146	PIR	relaxed
OG0012154	TMEM43	relaxed
OG0012157	TMEM167B	relaxed
OG0012159	TMEM183A	relaxed
OG0012165	MIIP	relaxed
OG0012173	RBM12	relaxed
OG0012179	LRRC29	relaxed
OG0012180	SLC8B1	relaxed
OG0012194	HDC	relaxed
OG0012196	DCP1B	relaxed
OG0012200	FBLN5	relaxed
OG0012212	ZBTB34	relaxed
OG0012215	ZBTB48	relaxed
OG0012216	FAM35A	relaxed
OG0012253	ATG12	relaxed
OG0012312	CUTC	relaxed
OG0012314	NVL	relaxed
OG0012324	CCDC112	relaxed
OG0012331	C9orf16	relaxed
OG0012332	HAUS4	relaxed
OG0012333	IFT74	relaxed
OG0012339	C11orf88	relaxed
OG0012340	-	relaxed
OG0012342	FBXL6	relaxed
OG0012350	TCTN2	relaxed
OG0012356	GPR98	relaxed
OG0012363	EIF3F	relaxed
OG0012381	CDC7	relaxed
OG0012388	TRIM59	relaxed
OG0012389	ZNF236	relaxed
OG0012395	HAUS1	relaxed
OG0012406	ANGPTL5	relaxed
OG0012415	NIPA1	relaxed
OG0012422	MRPS10	relaxed
OG0012423	AGBL5	relaxed
OG0012425	TRMU	relaxed
OG0012427	ALG12	relaxed
OG0012430	TEN1	relaxed
OG0012441	BNIP2	relaxed
OG0012445	IRAK4	relaxed
OG0012447	ADCK2	relaxed
OG0012470	ANKMY1	relaxed
OG0012476	ZGPAT	relaxed
OG0012478	NUFIP1	relaxed
OG0012482	NRDE2	relaxed
OG0012487	IAH1	relaxed
OG0012489	CDAN1	relaxed
OG0012491	GSTZ1	relaxed
OG0012495	AQR	relaxed
OG0012501	LHPP	relaxed
OG0012509	PRODH2	relaxed
OG0012539	ARPC2	relaxed
OG0012548	CPQ	relaxed
OG0012553	GTPBP10	relaxed
OG0012560	CYB5D1	relaxed
OG0012574	DNPH1	relaxed
OG0012585	C12orf73	relaxed
OG0012605	ADAT2	relaxed
OG0012613	ALKBH7	relaxed
OG0012615	SWSAP1	relaxed
OG0012622	TPD52	relaxed
OG0012666	B3GALT4	relaxed
OG0012667	TLDC1	relaxed
OG0012668	TSR3	relaxed
OG0012674	MTRF1	relaxed
OG0012688	CDCP2	relaxed
OG0012693	UCN	relaxed
OG0012732	PNPT1	relaxed
OG0012734	ARHGEF26	relaxed
OG0012739	HSD17B4	relaxed
OG0012745	LONRF1	relaxed
OG0012795	CKAP4	relaxed
OG0012798	GPR180	relaxed
OG0012807	POLG	relaxed
OG0012808	SVIP	relaxed
OG0012811	MRPS35	relaxed
OG0012812	SERGEF	relaxed
OG0012825	TCTEX1D2	relaxed
OG0012837	MOK	relaxed
OG0012845	C14orf1	relaxed
OG0012849	ASCC1	relaxed
OG0012858	COMMD5	relaxed
OG0012859	PIPOX	relaxed
OG0012876	ECHDC1	relaxed
OG0012888	PLAA	relaxed
OG0012897	PCNXL2	relaxed
OG0012901	ZNF330	relaxed
OG0012912	PYCRL	relaxed
OG0012920	RPP14	relaxed
OG0012923	SETD7	relaxed
OG0012934	C14orf159	relaxed
OG0012936	IQCK	relaxed
OG0012957	CCNDBP1	relaxed
OG0013030	SMIM24	relaxed
OG0013034	MED13L	relaxed
OG0013053	REXO5	relaxed
OG0013067	TNFRSF18	relaxed
OG0013073	-	relaxed
OG0013086	TXNDC16	relaxed
OG0013088	C14orf28	relaxed
OG0013112	EME2	relaxed
OG0013115	LARS2	relaxed
OG0013137	ATOX1	relaxed
OG0013198	HDHD3	relaxed
OG0013220	FASTKD5	relaxed
OG0013262	SAMD15	relaxed
OG0013280	EBPL	relaxed
OG0013323	TMEM44	relaxed
OG0013341	PIGV	relaxed
OG0013351	RBFA	relaxed
OG0013356	phr	relaxed
OG0013357	-	relaxed
OG0013375	C16orf46	relaxed
OG0013376	CAPS2	relaxed
OG0013378	PTPN14	relaxed
OG0013390	VSTM5	relaxed
OG0013409	MBOAT4	relaxed
OG0013655	-	relaxed
OG0013720	PTH2	relaxed
OG0013748	-	relaxed
