gene_symbol,OG,TargetSpecies_Count,Reference_Count
DND1,OG0006688,1,1
DNER,OG0010515,NA,NA
DNHD1,NA,1,1
DNLZ,OG0011757,NA,NA
DNMBP,OG0004104,1,1
DNMT1,OG0007595,NA,NA
DNMT3A,OG0007597,NA,NA
DNMT3B,OG0004955,NA,NA
DNPEP,OG0006793,NA,NA
DNTT,NA,1,1
DNTTIP1,OG0007560,NA,NA
DNTTIP2,OG0006526,1,1
DOCK6,NA,1,1
DOHH,OG0010511,NA,NA
DOK1,OG0007851,NA,NA
DOK2,OG0008141,1,1
DOK3,OG0011469,NA,NA
DOLK,OG0011264,NA,NA
DOLPP1,OG0007354,NA,NA
DONSON,OG0010863,1,1
DOP1A,NA,1,1
DOPEY1,OG0005653,NA,NA
DOPEY2,OG0007498,NA,NA
DOT1L,OG0008927,1,1
DPAGT1,OG0010447,NA,NA
DPCD,OG0010198,NA,NA
DPEP1,OG0006726,NA,NA
DPH1,OG0006024,1,1
DPH2,OG0009230,1,1
DPH5,OG0006599,NA,NA
DPH6,OG0005503,NA,NA
DPH7,OG0011146,NA,NA
DPM1,OG0006053,NA,NA
DPM2,OG0008070,NA,NA
DPM3,OG0011502,NA,NA
DPP3,OG0008528,NA,NA
DPP4,NA,1,1
DPT,OG0009726,NA,NA
DPY19L3,OG0008439,NA,NA
DPY19L4,OG0010213,NA,NA
DPY30,OG0008871,NA,NA
DPYD,NA,1,1
DPYS,OG0010982,1,1
DPYSL5,OG0007680,NA,NA
DQX1,NA,1,1
DRAP1,OG0008770,NA,NA
DRAXIN,OG0007417,NA,NA
DRC1,OG0009683,NA,NA
DRD2,OG0003756,NA,NA
DRD3,OG0009517,NA,NA
DRG1,OG0008586,NA,NA
DRG2,OG0008512,NA,NA
DRGX,OG0008449,NA,NA
DROSHA,OG0006669,NA,NA
DRP2,OG0010464,NA,NA
DSC1,NA,1,1
DSC2,NA,1,1
DSC3,NA,1,1
DSCC1,OG0006309,NA,NA
DSCR3,OG0005240,NA,NA
DSE,OG0010673,NA,NA
DSEL,OG0006420,1,1
DSG1,NA,1,1
DSG3,NA,1,1
DSN1,OG0007321,1,1
DSP,OG0004406,NA,NA
DSPP,NA,1,1
DSTYK,OG0007927,NA,NA
DTD2,OG0011221,NA,NA
DTHD1,OG0012260,NA,NA
DTL,OG0010114,NA,NA
DTNBP1,NA,1,1
DTWD1,OG0009553,NA,NA
DTWD2,OG0008328,NA,NA
DTX2,OG0007850,NA,NA
DTX3L,NA,1,1
DTYMK,OG0011278,NA,NA
DUOXA2,NA,1,1
DUPD1,NA,1,1
DUS1L,OG0007581,NA,NA
DUS2,OG0008961,NA,NA
DUS3L,OG0008501,NA,NA
DUS4L,OG0006826,NA,NA
DUSP12,OG0007381,NA,NA
DUSP19,OG0005942,1,1
DUSP2,OG0010996,NA,NA
DUSP23,OG0005515,NA,NA
DUSP27,OG0010583,1,1
DUSP28,OG0009999,NA,NA
DUSP3,OG0005799,NA,NA
DUSP5,OG0007054,NA,NA
DXO,OG0004635,NA,NA
DYM,OG0008762,NA,NA
DYNC1H1,OG0004073,NA,NA
DYNC2H1,OG0011240,NA,NA
DYNC2LI1,OG0006936,NA,NA
DYRK2,NA,1,1
DYSF,NA,1,1
DYX1C1,OG0009685,NA,NA
DZANK1,OG0006468,1,1
DZIP3,NA,1,1
E2F1,OG0007837,NA,NA
E2F6,OG0003561,NA,NA
E2F7,OG0008758,1,1
E2F8,OG0007928,1,1
E4F1,OG0010633,NA,NA
EAPP,OG0005881,NA,NA
EARS2,OG0007287,NA,NA
EBAG9,OG0005664,NA,NA
EBF1,NA,1,1
EBI3,OG0011568,1,1
EBNA1BP2,OG0006325,NA,NA
EBP,OG0006315,NA,NA
EBPL,OG0011656,NA,NA
ECD,OG0007841,NA,NA
ECE1,NA,1,1
ECEL1,OG0010223,NA,NA
ECH1,OG0005802,NA,NA
ECHDC1,OG0007134,NA,NA
ECHDC3,OG0006962,NA,NA
ECHS1,OG0006937,2,2
ECI1,OG0008166,NA,NA
ECI2,OG0004543,NA,NA
ECM1,OG0004609,1,1
ECSCR,OG0011692,1,1
ECSIT,OG0010440,NA,NA
ECT2,OG0007759,NA,NA
ECT2L,OG0010653,1,1
EDA,OG0004989,NA,NA
EDA2R,OG0012048,NA,NA
EDAR,OG0008314,NA,NA
EDARADD,OG0008493,NA,NA
EDC3,OG0006543,NA,NA
EDC4,OG0004943,NA,NA
EDEM1,OG0008796,NA,NA
EDEM2,OG0010302,NA,NA
EDRF1,OG0006101,1,1
EEA1,OG0009494,1,1
EED,OG0007403,1,1
EEF1A1,NA,1,1
EEF1AKMT1,NA,1,1
EEF1D,OG0007707,NA,NA
EEF1E1,OG0006027,NA,NA
EEF1G,OG0004218,NA,NA
EEF2K,OG0009238,NA,NA
EEFSEC,OG0008634,1,1
EFCAB10,OG0008168,NA,NA
EFCAB11,OG0008270,1,1
EFCAB12,OG0011989,1,1
EFCAB14,OG0009225,NA,NA
EFCAB2,OG0008649,NA,NA
EFCAB5,OG0012279,1,1
EFCAB7,OG0009945,1,1
EFCAB9,OG0012140,NA,NA
EFHB,OG0012004,NA,NA
EFHC1,OG0011798,NA,NA
EFHC2,OG0009093,1,1
EFHD1,NA,1,1
EFNA1,OG0007075,NA,NA
EFNA3,OG0006990,NA,NA
EFR3A,OG0008750,NA,NA
EFR3B,OG0010353,1,1
EFS,OG0012127,NA,NA
EFTUD1,OG0007553,NA,NA
EFTUD2,OG0009119,NA,NA
EGF,OG0009182,1,1
EGFL6,OG0007741,NA,NA
EGFLAM,OG0009200,1,1
EGFR,NA,1,1
EGLN2,NA,1,1
EGR1,OG0004804,NA,NA
EGR4,OG0012715,NA,NA
EHBP1,NA,1,1
EHF,NA,1,1
EHHADH,OG0011056,NA,NA
EI24,OG0003962,NA,NA
EIF1AD,OG0008291,NA,NA
EIF2A,OG0010562,NA,NA
EIF2AK1,OG0005579,NA,NA
EIF2AK3,OG0008656,NA,NA
EIF2AK4,OG0009532,NA,NA
EIF2B1,OG0006032,NA,NA
EIF2B2,OG0006191,NA,NA
EIF2B3,OG0008352,NA,NA
EIF2B4,OG0011234,NA,NA
EIF2B5,OG0009973,1,1
EIF2D,OG0007656,NA,NA
EIF2S1,OG0003969,NA,NA
EIF2S2,OG0005305,NA,NA
EIF3A,OG0004917,NA,NA
EIF3B,OG0006530,NA,NA
EIF3C,OG0007125,NA,NA
EIF3D,OG0009903,NA,NA
EIF3E,OG0004596,NA,NA
EIF3F,OG0009813,NA,NA
EIF3G,OG0006850,NA,NA
EIF3H,OG0003796,NA,NA
EIF3I,OG0011497,NA,NA
EIF3K,OG0005810,NA,NA
EIF3L,OG0007177,NA,NA
EIF3M,OG0008467,NA,NA
EIF4A3,OG0005889,NA,NA
EIF4E3,OG0006528,1,1
EIF4ENIF1,OG0009251,NA,NA
EIF4G2,OG0003573,NA,NA
EIF4G3,OG0004838,NA,NA
EIF4H,OG0009246,NA,NA
EIF5,OG0004434,NA,NA
EIF5B,OG0007921,1,1
EIF6,OG0005937,NA,NA
ELAC1,OG0008347,NA,NA
ELAC2,OG0007956,NA,NA
ELAVL1,OG0005514,NA,NA
ELF2,OG0007622,NA,NA
ELF3,OG0008562,NA,NA
ELFN1,OG0006311,NA,NA
ELFN2,OG0006763,NA,NA
ELK1,OG0005181,NA,NA
ELK3,OG0005299,1,1
ELK4,OG0006138,NA,NA
ELL2,NA,1,1
ELMO2,NA,1,1
ELMO3,OG0005590,NA,NA
ELMOD1,OG0006997,NA,NA
ELMOD2,OG0007106,NA,NA
ELMOD3,OG0009145,NA,NA
ELMSAN1,OG0005707,NA,NA
ELOF1,OG0006680,NA,NA
ELOVL2,OG0011843,NA,NA
ELOVL4,OG0007997,1,1
ELOVL5,OG0008604,NA,NA
ELP2,OG0010320,NA,NA
ELP3,OG0009896,NA,NA
ELP4,OG0009950,1,1
ELP5,OG0011195,1,1
ELP6,OG0007154,NA,NA
ELTD1,OG0009210,NA,NA
EMB,OG0011410,NA,NA
EMC1,OG0009323,1,1
EMC10,OG0012029,NA,NA
EMC2,OG0006079,NA,NA
EMC3,NA,1,1
EMC4,OG0005728,NA,NA
EMC6,OG0011225,NA,NA
EMC7,OG0007088,NA,NA
EMD,OG0005280,NA,NA
EMG1,OG0007536,NA,NA
EMILIN1,OG0006207,1,1
EMILIN2,OG0005580,NA,NA
EMILIN3,OG0004843,NA,NA
EMP3,OG0006723,NA,NA
ENAM,NA,1,1
ENDOG,OG0010884,NA,NA
ENDOU,OG0004590,NA,NA
ENDOV,OG0012028,NA,NA
ENG,OG0012187,1,1
ENGASE,OG0010422,NA,NA
ENKD1,OG0008596,NA,NA
ENKUR,OG0006991,NA,NA
ENO4,OG0008149,1,1
ENOPH1,OG0004202,NA,NA
ENOSF1,OG0012267,NA,NA
ENPEP,OG0007747,1,1
ENPP2,OG0006470,NA,NA
ENPP3,NA,1,1
ENPP4,OG0008923,NA,NA
ENPP5,OG0012217,NA,NA
ENPP6,OG0011132,NA,NA
ENPP7,NA,1,1
ENTHD1,NA,1,1
ENTHD2,OG0010666,NA,NA
ENTPD1,OG0008887,1,1
ENTPD3,OG0009161,NA,NA
ENTPD5,OG0005314,NA,NA
ENTPD6,OG0010416,NA,NA
ENY2,OG0004121,NA,NA
EOGT,OG0006238,NA,NA
EOMES,OG0004695,NA,NA
EP400,NA,1,1
EPAS1,OG0004364,NA,NA
EPB41L3,NA,1,1
EPB41L4A,OG0009351,NA,NA
EPB41L4B,OG0010194,NA,NA
EPB41L5,OG0006614,NA,NA
EPC1,OG0005538,NA,NA
EPC2,OG0007908,NA,NA
EPDR1,OG0011037,NA,NA
EPG5,OG0011398,NA,NA
EPGN,OG0012104,NA,NA
EPHA2,NA,1,1
EPHA6,NA,1,1
EPHA8,OG0011951,NA,NA
EPHB3,NA,1,1
EPHB4,NA,1,1
EPHX2,NA,2,3
EPM2A,OG0008218,NA,NA
EPM2AIP1,NA,2,2
EPOR,OG0006046,1,1
EPPK1,OG0008554,NA,NA
EPRS,OG0006401,NA,NA
EPRS1,NA,1,1
EPS15,NA,1,1
EPS8,OG0010700,2,2
EPS8L3,OG0005023,1,1
EPSTI1,OG0008569,1,1
EPX,NA,1,1
ERAL1,OG0010676,1,1
ERBB2IP,OG0009126,NA,NA
ERC1,NA,1,1
ERCC1,OG0008963,2,2
ERCC2,OG0004250,NA,NA
ERCC3,OG0011823,NA,NA
ERCC4,OG0007036,NA,NA
ERCC5,NA,1,1
ERCC6,OG0011345,NA,NA
ERCC6L,OG0004411,NA,NA
ERCC6L2,OG0010415,NA,NA
ERCC8,OG0010036,NA,NA
EREG,OG0011243,NA,NA
ERG,OG0006998,NA,NA
ERGIC1,OG0009298,NA,NA
ERGIC2,OG0006515,1,1
ERGIC3,OG0008732,NA,NA
ERI1,OG0005857,NA,NA
ERI2,OG0011943,1,1
ERI3,OG0011710,NA,NA
ERICH1,OG0011681,NA,NA
ERICH2,OG0010979,NA,NA
ERICH3,OG0005047,1,1
ERICH6,OG0005792,NA,NA
ERICH6B,NA,1,1
ERLEC1,OG0009020,NA,NA
ERMN,OG0011827,NA,NA
ERMP1,OG0005634,NA,NA
ERP27,OG0011610,NA,NA
ERP29,OG0012148,NA,NA
ERP44,OG0010282,NA,NA
ERRFI1,OG0009562,1,1
ESAM,OG0005363,NA,NA
ESCO1,OG0009343,1,1
ESCO2,OG0007424,NA,NA
ESD,OG0005031,NA,NA
ESF1,OG0007663,1,1
ESM1,OG0010112,NA,NA
ESPL1,OG0005688,1,1
ESPN,NA,1,1
ESR1,NA,1,1
ESRRB,NA,1,1
ESYT1,OG0010616,NA,NA
ETAA1,OG0004266,1,1
ETF1,OG0003680,NA,NA
ETFA,OG0007608,NA,NA
ETFB,OG0006919,NA,NA
ETFDH,OG0007152,1,1
ETFRF1,NA,1,1
ETNK1,NA,1,1
ETS1,OG0005272,NA,NA
ETS2,OG0007290,NA,NA
EVA1B,OG0004939,NA,NA
EVC,OG0011849,NA,NA
EVC2,OG0009102,NA,NA
EVI2A,OG0012499,NA,NA
EVI2B,OG0012524,NA,NA
EVI5,NA,1,1
EVPL,OG0004446,1,1
EWSR1,OG0004891,NA,NA
EXD1,OG0009732,NA,NA
EXD2,OG0010491,NA,NA
EXO1,OG0007311,1,1
EXO5,OG0011789,1,1
EXOC1L,OG0004488,NA,NA
EXOC2,OG0004880,NA,NA
EXOC3L2,OG0004018,2,2
EXOC3L4,OG0005495,NA,NA
EXOC4,OG0007547,NA,NA
EXOC5,OG0009070,1,1
EXOC7,OG0010621,NA,NA
EXOC8,OG0009207,NA,NA
EXOG,OG0011679,NA,NA
EXOSC1,OG0008259,NA,NA
EXOSC10,OG0008853,NA,NA
EXOSC2,OG0006003,NA,NA
EXOSC3,OG0008317,NA,NA
EXOSC4,OG0009719,NA,NA
EXOSC5,OG0005036,NA,NA
EXOSC6,OG0011602,NA,NA
EXOSC7,OG0006252,NA,NA
EXOSC8,OG0008782,NA,NA
EXOSC9,OG0008165,NA,NA
EXPH5,NA,1,1
EXT2,OG0009247,NA,NA
EXTL2,OG0006129,NA,NA
EXTL3,OG0009300,1,1
EYS,NA,1,1
F11R,OG0003876,NA,NA
F13A1,OG0006559,NA,NA
F2,OG0008631,NA,NA
F2R,OG0005220,NA,NA
F2RL1,OG0003532,NA,NA
F2RL3,NA,1,1
F3,OG0004043,1,1
F5,OG0004155,1,1
F8,OG0007888,NA,NA
FA2H,OG0005946,NA,NA
FAAP20,OG0012462,NA,NA
FABP1,OG0003035,1,1
FABP2,OG0004497,NA,NA
FABP6,OG0009536,NA,NA
FABP9,NA,1,1
FADD,OG0008373,NA,NA
FADS1,NA,2,2
FADS6,OG0011395,NA,NA
FAF1,OG0004830,NA,NA
FAF2,OG0007937,NA,NA
FAH,OG0011104,NA,NA
FAHD1,OG0007033,NA,NA
FAHD2A,OG0007588,NA,NA
FAIM,OG0004897,NA,NA
FAIM2,OG0003923,NA,NA
FAM101A,OG0010665,NA,NA
FAM102A,OG0004086,NA,NA
FAM102B,OG0008021,NA,NA
FAM103A1,OG0008033,NA,NA
FAM105A,OG0011809,NA,NA
FAM114A1,OG0007554,NA,NA
FAM114A2,OG0011834,NA,NA
FAM117A,OG0005809,NA,NA
FAM120B,OG0011048,NA,NA
FAM124A,OG0008811,NA,NA
FAM124B,OG0009800,NA,NA
FAM126A,OG0007907,NA,NA
FAM126B,OG0010845,NA,NA
FAM129A,OG0004015,NA,NA
FAM129B,OG0003850,NA,NA
FAM131A,OG0009211,NA,NA
FAM131B,OG0006575,NA,NA
FAM131C,OG0007930,NA,NA
FAM134A,OG0006977,NA,NA
FAM134B,OG0007193,NA,NA
FAM134C,OG0009485,NA,NA
FAM135A,OG0010688,NA,NA
FAM135B,OG0003829,1,1
FAM136A,OG0005095,NA,NA
FAM13B,OG0006050,NA,NA
FAM13C,OG0007909,NA,NA
FAM149A,OG0007166,NA,NA
FAM149B1,OG0008059,NA,NA
FAM151A,OG0007402,1,1
FAM151B,OG0010606,NA,NA
FAM160A1,OG0007836,NA,NA
FAM160A2,OG0004392,NA,NA
FAM161A,OG0005902,1,1
FAM161B,OG0010195,1,1
FAM163A,OG0008077,NA,NA
FAM163B,OG0006039,NA,NA
FAM166B,OG0010587,NA,NA
FAM167B,NA,1,1
FAM168A,OG0010794,NA,NA
FAM168B,OG0006146,NA,NA
FAM171B,OG0007948,NA,NA
FAM173A,OG0004505,NA,NA
FAM173B,OG0011312,NA,NA
FAM174B,OG0012307,NA,NA
FAM175A,OG0006216,NA,NA
FAM175B,OG0007810,NA,NA
FAM178A,OG0004618,NA,NA
FAM179A,OG0012250,NA,NA
FAM179B,OG0005922,NA,NA
FAM180A,OG0007657,NA,NA
FAM181A,OG0010170,NA,NA
FAM181B,OG0011271,NA,NA
FAM183A,OG0007568,1,1
FAM184A,OG0006506,NA,NA
FAM184B,OG0004855,NA,NA
FAM185A,OG0010505,NA,NA
FAM187A,NA,1,1
FAM187B,OG0011916,1,1
FAM188A,OG0009244,NA,NA
FAM188B,OG0006233,NA,NA
FAM189A1,OG0005963,NA,NA
FAM189A2,OG0008932,NA,NA
FAM189B,OG0010371,NA,NA
FAM192A,OG0005864,NA,NA
FAM193A,OG0005284,NA,NA
FAM193B,OG0007407,NA,NA
FAM198A,OG0007756,NA,NA
FAM198B,OG0011125,NA,NA
FAM199X,OG0009319,NA,NA
FAM19A5,NA,1,1
FAM206A,OG0006687,NA,NA
FAM207A,OG0011138,NA,NA
FAM208A,OG0004915,NA,NA
FAM208B,OG0004261,1,1
FAM20A,OG0010164,NA,NA
FAM20B,OG0006721,NA,NA
FAM210A,OG0006686,NA,NA
FAM210B,OG0007695,NA,NA
FAM212A,OG0005117,NA,NA
FAM212B,OG0008880,NA,NA
FAM213B,OG0012483,NA,NA
FAM214A,OG0007587,1,1
FAM214B,OG0007986,NA,NA
FAM216A,OG0012623,NA,NA
FAM219A,OG0005221,NA,NA
FAM219B,OG0009361,NA,NA
FAM221A,OG0011230,NA,NA
FAM221B,OG0012291,NA,NA
FAM222A,OG0008783,NA,NA
FAM222B,OG0005173,NA,NA
FAM227A,OG0011629,NA,NA
FAM32A,OG0004490,NA,NA
FAM35A,OG0008978,NA,NA
FAM3B,OG0007721,NA,NA
FAM45A,OG0005888,NA,NA
FAM53B,OG0006463,NA,NA
FAM53C,OG0010561,1,1
FAM58A,OG0005570,NA,NA
FAM64A,OG0009982,NA,NA
FAM65A,OG0004066,NA,NA
FAM65B,OG0007061,NA,NA
FAM65C,OG0005940,NA,NA
FAM69C,OG0008928,NA,NA
FAM71D,NA,1,1
FAM72A,OG0004641,1,1
FAM72B,NA,1,1
FAM72D,NA,1,1
FAM73A,OG0005332,NA,NA
FAM73B,OG0011841,NA,NA
FAM81A,OG0011698,NA,NA
FAM81B,OG0010968,NA,NA
FAM83A,OG0010556,NA,NA
FAM83B,OG0007831,1,1
FAM83C,OG0011883,NA,NA
FAM83D,OG0006690,NA,NA
FAM83E,OG0011737,NA,NA
FAM83F,OG0005415,NA,NA
FAM83G,OG0006613,NA,NA
FAM83H,OG0007052,NA,NA
FAM84A,OG0007186,1,1
FAM84B,OG0004201,1,1
FAM86A,OG0005144,NA,NA
FAM89B,NA,1,1
FAM8A1,OG0007969,NA,NA
FAM91A1,OG0005485,NA,NA
FAM92A1,OG0009012,NA,NA
FAM92B,OG0011042,NA,NA
FAM96A,OG0007619,NA,NA
FAM96B,OG0007019,NA,NA
FAN1,OG0005434,2,2
FANCA,OG0003444,NA,NA
FANCB,OG0005223,1,1
FANCC,OG0007269,NA,NA
FANCD2,OG0007524,1,1
FANCE,OG0010381,NA,NA
FANCF,OG0011277,NA,NA
FANCG,OG0009013,1,1
FANCI,OG0006184,1,1
FANCL,OG0010858,NA,NA
FANCM,OG0005986,1,1
FANK1,OG0012142,NA,NA
FARS2,OG0005633,NA,NA
FARSA,OG0007119,NA,NA
FARSB,OG0008578,1,1
FAS,OG0010161,1,1
FASN,OG0009495,NA,NA
FASTK,OG0010631,NA,NA
FASTKD1,OG0010480,NA,NA
FASTKD2,OG0010481,1,1
FASTKD3,OG0010094,NA,NA
FASTKD5,OG0012081,1,1
FAT1,NA,1,1
FAT2,NA,1,1
FATE1,OG0011832,NA,NA
FAXC,OG0005222,NA,NA
FAXDC2,OG0012098,NA,NA
FBF1,OG0010346,NA,NA
FBLIM1,OG0011366,NA,NA
FBLN1,OG0006986,NA,NA
FBLN2,OG0005559,NA,NA
FBLN5,OG0011524,NA,NA
FBXL12,OG0011797,NA,NA
FBXL14,OG0005433,NA,NA
FBXL15,OG0008567,NA,NA
FBXL16,OG0008993,NA,NA
FBXL17,OG0004272,NA,NA
FBXL18,OG0006765,NA,NA
FBXL19,OG0003938,NA,NA
FBXL22,OG0011761,NA,NA
FBXL4,OG0007014,NA,NA
FBXL5,OG0006478,NA,NA
FBXL6,OG0006930,NA,NA
FBXL7,OG0007089,NA,NA
FBXL8,OG0007458,NA,NA
FBXO10,OG0008153,NA,NA
FBXO11,OG0004816,NA,NA
FBXO15,OG0006799,NA,NA
FBXO16,OG0009825,1,1
FBXO18,OG0005288,NA,NA
FBXO21,OG0007819,NA,NA
FBXO22,OG0008474,NA,NA
FBXO24,OG0012532,NA,NA
FBXO28,OG0006248,NA,NA
FBXO3,OG0006302,NA,NA
FBXO30,OG0007594,NA,NA
FBXO31,OG0007262,NA,NA
FBXO33,OG0009016,NA,NA
FBXO34,OG0007158,NA,NA
FBXO36,OG0005891,NA,NA
FBXO38,OG0007738,NA,NA
FBXO4,OG0010237,NA,NA
FBXO40,OG0004524,NA,NA
FBXO41,OG0005052,NA,NA
FBXO42,OG0007976,NA,NA
FBXO43,OG0010140,1,1
FBXO45,OG0005724,NA,NA
FBXO46,OG0007223,NA,NA
FBXO47,OG0009806,NA,NA
FBXO48,OG0012073,1,1
FBXO5,OG0009934,NA,NA
FBXO6,NA,1,1
FBXO7,OG0006544,NA,NA
FBXO8,OG0007160,NA,NA
FBXO9,OG0010340,NA,NA
FBXW10,OG0009681,NA,NA
FBXW2,OG0009095,NA,NA
FBXW4,OG0008729,NA,NA
FBXW5,OG0008558,NA,NA
FBXW8,OG0010829,1,1
FBXW9,OG0007126,NA,NA
FCER1G,OG0008097,NA,NA
FCF1,OG0005102,NA,NA
FCGBP,NA,1,1
FCHSD1,OG0011910,NA,NA
FCHSD2,OG0004781,NA,NA
FCN3,NA,1,1
FCRL2,NA,1,1
FDFT1,OG0003687,NA,NA
FDPS,OG0004637,NA,NA
FDX1L,OG0008584,NA,NA
FDXACB1,OG0008621,NA,NA
FDXR,OG0010945,NA,NA
FECH,OG0009039,NA,NA
FEM1B,OG0009502,NA,NA
FEN1,NA,2,2
FER,OG0007557,NA,NA
FER1L5,NA,1,1
FER1L6,NA,1,1
FERD3L,OG0004675,NA,NA
FERMT1,OG0011362,NA,NA
FERMT2,OG0009209,NA,NA
FERMT3,OG0005908,NA,NA
FES,OG0007874,1,1
FETUB,NA,1,1
FEV,OG0010037,NA,NA
FEZ1,OG0004550,NA,NA
FEZ2,OG0004952,NA,NA
FEZF2,NA,1,1
FFAR4,OG0012165,NA,NA
FGA,OG0004520,NA,NA
FGB,OG0008309,1,1
FGD1,OG0011805,NA,NA
FGD2,OG0012660,NA,NA
FGD3,OG0010466,2,2
FGD4,OG0005028,NA,NA
FGD5,OG0004009,NA,NA
FGD6,OG0009237,1,1
FGF16,NA,1,1
FGF19,OG0010908,NA,NA
FGF21,NA,1,1
FGF23,OG0008014,NA,NA
FGF3,OG0010864,NA,NA
FGF5,OG0008087,NA,NA
FGF7,OG0006906,NA,NA
FGFBP1,OG0005845,NA,NA
FGFBP3,OG0008696,NA,NA
FGFR1,NA,1,1
FGFR1OP,OG0006404,NA,NA
FGFR1OP2,OG0009239,NA,NA
FGG,OG0006782,NA,NA
FGGY,OG0010289,NA,NA
FGL2,OG0003478,NA,NA
FGR,NA,1,1
FH,OG0005962,1,1
FHAD1,OG0005101,1,1
FHDC1,NA,2,2
FHIT,OG0006899,NA,NA
FHL1,OG0004037,NA,NA
FHL3,OG0005684,NA,NA
FHOD3,NA,1,1
FIBCD1,OG0004741,NA,NA
FIBIN,OG0005418,NA,NA
FIBP,OG0005140,NA,NA
FICD,OG0010552,NA,NA
FIG4,OG0010033,NA,NA
FIGLA,OG0011546,NA,NA
FIGNL1,OG0008288,NA,NA
FILIP1,OG0007889,NA,NA
FILIP1L,OG0009249,NA,NA
FIS1,OG0010781,NA,NA
FITM1,OG0008326,NA,NA
FITM2,OG0004704,NA,NA
FJX1,OG0010298,NA,NA
FKBP11,OG0008523,NA,NA
FKBP14,OG0010131,1,1
FKBP15,OG0004092,1,1
FKBP2,OG0010342,NA,NA
FKBP3,OG0004179,NA,NA
FKBP6,OG0008430,NA,NA
FKBP7,OG0011062,NA,NA
FKBPL,OG0011745,NA,NA
FKRP,OG0008654,NA,NA
FKTN,OG0008429,NA,NA
FLAD1,OG0010405,1,1
FLCN,OG0010060,1,1
FLII,OG0005648,1,1
FLOT1,OG0005936,NA,NA
FLOT2,OG0006554,NA,NA
FLRT1,OG0011214,NA,NA
FLRT2,OG0004856,NA,NA
FLRT3,OG0009197,NA,NA
FLT3,OG0005754,NA,NA
FLT4,OG0009572,NA,NA
FLYWCH1,NA,1,1
FMN1,NA,2,2
FMO1,NA,1,1
FMO3,NA,1,1
FMOD,OG0005353,NA,NA
FMR1,OG0010128,NA,NA
FN1,OG0005669,1,1
FNBP1,NA,1,1
FNBP4,OG0008776,NA,NA
FNDC1,OG0009280,1,1
FNDC3B,OG0011508,NA,NA
FNDC7,OG0005505,NA,NA
FNIP2,NA,1,1
FNTA,OG0007492,NA,NA
FNTB,OG0009444,NA,NA
FOCAD,OG0011850,1,1
FOLR2,NA,1,1
FOLR3,NA,1,1
FOPNL,OG0008491,NA,NA
FOSL1,OG0011896,NA,NA
FOSL2,OG0008856,NA,NA
FOXC1,OG0009868,NA,NA
FOXG1,OG0010006,NA,NA
FOXH1,NA,1,1
FOXI1,NA,1,1
FOXI3,NA,2,2
FOXJ2,OG0010211,NA,NA
FOXK1,OG0010206,NA,NA
FOXK2,OG0006541,NA,NA
FOXM1,OG0009309,1,1
FOXN1,OG0010241,NA,NA
FOXN2,OG0005227,NA,NA
FOXN3,OG0003789,1,1
FOXN4,OG0006165,NA,NA
FOXO1,OG0005342,NA,NA
FOXO3,NA,3,3
FOXO4,OG0005005,NA,NA
FOXP1,OG0008982,NA,NA
FOXP2,NA,1,1
FOXP3,OG0009569,NA,NA
FOXRED1,OG0011129,NA,NA
FOXRED2,OG0006286,NA,NA
FPGS,OG0007430,NA,NA
FPGT,OG0011804,1,1
FPGT-TNNI3K,NA,1,1
FPR1,NA,1,1
FRA10AC1,OG0009890,NA,NA
FRAS1,OG0003778,1,1
FREM1,NA,1,1
FREM2,NA,1,1
FRG1,OG0004417,1,1
FRK,OG0009139,NA,NA
FRMD4A,OG0007968,NA,NA
FRMD4B,OG0005692,NA,NA
FRMD7,OG0009560,NA,NA
FRMD8,OG0007026,NA,NA
FRMPD1,OG0003596,1,1
FRMPD3,OG0010438,1,1
FRMPD4,OG0005605,NA,NA
FRRS1,NA,1,1
FRRS1L,OG0008901,NA,NA
FRZB,OG0008841,NA,NA
FSCB,NA,1,1
FSCN3,NA,1,1
FSD1,OG0009184,NA,NA
FSD1L,OG0006411,NA,NA
FSD2,OG0008704,NA,NA
FSHR,NA,1,1
FSIP1,OG0006816,1,1
FSIP2,NA,1,1
FST,OG0004230,NA,NA
FSTL1,OG0006695,NA,NA
FSTL3,OG0011746,NA,NA
FTCD,OG0006752,NA,NA
FTCDNL1,OG0012321,NA,NA
FTO,OG0008342,NA,NA
FTSJ1,OG0009313,NA,NA
FTSJ2,OG0009718,NA,NA
FUBP1,OG0007910,NA,NA
FUBP3,OG0009450,NA,NA
FUCA1,NA,1,1
FUK,OG0009283,NA,NA
FURIN,NA,2,3
FUT10,OG0009924,NA,NA
FUT11,OG0011349,NA,NA
FUT7,OG0006797,NA,NA
FUT8,OG0004775,NA,NA
FUZ,OG0007011,NA,NA
FXN,OG0007301,1,1
FYB,OG0004493,NA,NA
FYB1,NA,1,1
FYB2,NA,1,1
FYCO1,NA,1,1
FZD3,OG0005975,NA,NA
FZD4,OG0008683,NA,NA
FZD6,OG0009395,1,1
G0S2,OG0008226,NA,NA
G2E3,OG0009430,NA,NA
G6PC3,OG0010066,1,1
G6PD,OG0005376,1,1
GAB1,OG0009474,1,1
GAB2,OG0006910,NA,NA
GAB3,OG0006894,NA,NA
GABARAPL2,OG0004219,NA,NA
GABBR1,OG0004419,NA,NA
GABBR2,OG0005228,1,1
GABPA,OG0005901,NA,NA
GABRD,OG0011266,NA,NA
