OG_ID,analysis_absrel,analysis_paml,analysis_relax_intens,analysis_cafe_expanded,analysis_relax_relaxed,analysis_cafe_contr,condition_pigmentation,condition_eyes,gene_symbol,count_NA,count_sel
OG0011433,NA,NA,intensified,NA,NA,NA,NA,NA,SNAPIN,3,3
OG0011435,NA,NA,intensified,NA,NA,NA,NA,NA,C19orf43,3,3
OG0011440,NA,NA,intensified,NA,NA,NA,NA,NA,WBP2NL,3,3
OG0011445,NA,NA,intensified,NA,NA,NA,NA,NA,NUDCD2,3,3
OG0011446,NA,NA,intensified,NA,NA,NA,NA,NA,CCNG1,3,3
OG0011457,NA,NA,intensified,NA,NA,NA,NA,NA,KIAA0101,3,3
OG0011462,NA,NA,intensified,NA,NA,NA,NA,NA,RNF139,3,3
OG0011482,NA,NA,intensified,NA,NA,NA,NA,NA,SCARB1,3,3
OG0011523,NA,NA,intensified,NA,NA,NA,NA,NA,NWD1,3,3
OG0011527,NA,NA,intensified,NA,NA,NA,NA,NA,PSMD14,3,3
OG0011563,NA,NA,intensified,NA,NA,NA,NA,NA,CHMP3,3,3
OG0011589,NA,NA,intensified,NA,NA,NA,NA,NA,NPHP1,3,3
OG0011594,NA,NA,intensified,NA,NA,NA,pigmentation,NA,TACO1,3,3
OG0011595,NA,NA,intensified,NA,NA,NA,NA,NA,ACADSB,3,3
OG0011602,NA,NA,intensified,NA,NA,NA,NA,NA,MRPL43,3,3
OG0011610,NA,NA,intensified,NA,NA,NA,NA,NA,BRICD5,3,3
OG0011612,NA,NA,intensified,NA,NA,NA,NA,NA,C10orf107,3,3
OG0011625,NA,NA,intensified,NA,NA,NA,NA,NA,DET1,3,3
OG0011632,NA,NA,intensified,NA,NA,NA,NA,NA,ECEL1,3,3
OG0011635,NA,NA,intensified,NA,NA,NA,NA,NA,PAF1,3,3
OG0011656,NA,NA,intensified,NA,NA,NA,NA,NA,NUP35,3,3
OG0011666,NA,NA,intensified,NA,NA,NA,NA,NA,TEX30,3,3
OG0011685,NA,NA,intensified,NA,NA,NA,NA,NA,ZBTB7B,3,3
OG0011733,NA,NA,intensified,NA,NA,NA,NA,eyeloss,SMG9,3,3
OG0011734,NA,NA,intensified,NA,NA,NA,NA,NA,BCL10,3,3
OG0011739,NA,NA,intensified,NA,NA,NA,NA,NA,ABCF3,3,3
OG0011759,NA,NA,intensified,NA,NA,NA,NA,NA,NA,3,3
OG0011764,NA,NA,intensified,NA,NA,NA,NA,NA,TSEN15,3,3
OG0011785,NA,NA,intensified,NA,NA,NA,NA,NA,C6orf203,3,3
OG0011800,NA,NA,intensified,NA,NA,NA,NA,NA,FAM120B,3,3
OG0011814,NA,NA,intensified,NA,NA,NA,NA,NA,PDLIM1,3,3
OG0011820,NA,NA,intensified,NA,NA,NA,NA,NA,SORBS1,3,3
OG0011832,NA,NA,intensified,NA,NA,NA,NA,NA,CDCA9,3,3
OG0011851,NA,NA,intensified,NA,NA,NA,NA,NA,SYCE3,3,3
OG0011878,NA,NA,intensified,NA,NA,NA,NA,NA,MRPL19,3,3
OG0011907,NA,NA,intensified,NA,NA,NA,NA,NA,HOXB2,3,3
OG0011925,NA,NA,intensified,NA,NA,NA,NA,NA,PSMA5,3,3
OG0011951,NA,NA,intensified,NA,NA,NA,NA,eyeloss,ETFDH,3,3
OG0011989,NA,NA,intensified,NA,NA,NA,NA,NA,TMEM130,3,3
OG0012098,NA,NA,intensified,NA,NA,NA,NA,NA,L3HYPDH,3,3
OG0012104,NA,NA,intensified,NA,NA,NA,NA,NA,CEP85L,3,3
OG0012110,NA,NA,intensified,NA,NA,NA,NA,NA,GATB,3,3
OG0012127,NA,NA,intensified,NA,NA,NA,NA,NA,TBRG1,3,3
OG0012132,NA,NA,intensified,NA,NA,NA,NA,NA,DHX34,3,3
OG0012133,NA,NA,intensified,NA,NA,NA,NA,NA,TTC36,3,3
OG0012167,NA,NA,intensified,NA,NA,NA,NA,NA,PEX12,3,3
OG0012185,NA,NA,intensified,NA,NA,NA,NA,NA,AP5Z1,3,3
OG0012186,NA,NA,intensified,NA,NA,NA,NA,NA,WIPI2,3,3
OG0012213,NA,NA,intensified,NA,NA,NA,NA,NA,GAK,3,3
OG0012218,NA,NA,intensified,NA,NA,NA,NA,NA,PROS1,3,3
OG0012225,NA,NA,intensified,NA,NA,NA,NA,NA,DIS3,3,3
OG0012226,NA,NA,intensified,NA,NA,NA,NA,NA,ASNA1,3,3
OG0012235,NA,NA,intensified,NA,NA,NA,NA,NA,EARS2,3,3
OG0012242,NA,NA,intensified,NA,NA,NA,NA,NA,ANKS6,3,3
OG0012243,NA,NA,intensified,NA,NA,NA,NA,NA,RAD54B,3,3
OG0012253,NA,NA,intensified,NA,NA,NA,NA,NA,TCEANC2,3,3
OG0012270,NA,NA,intensified,NA,NA,NA,NA,NA,TPGS2,3,3
OG0012276,NA,NA,intensified,NA,NA,NA,NA,NA,FECH,3,3
OG0012302,NA,NA,intensified,NA,NA,NA,NA,NA,TTC34,3,3
OG0012309,NA,NA,intensified,NA,NA,NA,NA,NA,SPO11,3,3
OG0012314,NA,NA,intensified,NA,NA,NA,NA,NA,TSPAN31,3,3
OG0012332,NA,NA,intensified,NA,NA,NA,NA,NA,SCLY,3,3
OG0012337,NA,NA,intensified,NA,NA,NA,NA,NA,XRCC6BP1,3,3
OG0012341,NA,NA,intensified,NA,NA,NA,NA,NA,CCDC59,3,3
OG0012353,NA,NA,intensified,NA,NA,NA,NA,NA,TRIQK,3,3
OG0012360,NA,NA,intensified,NA,NA,NA,NA,NA,PEX11B,3,3
OG0012362,NA,NA,intensified,NA,NA,NA,NA,NA,FBF1,3,3
OG0012367,NA,NA,intensified,NA,NA,NA,NA,NA,KLHL42,3,3
OG0012370,NA,NA,intensified,NA,NA,NA,NA,NA,RTCB,3,3
OG0012374,NA,NA,intensified,NA,NA,NA,NA,NA,WDR61,3,3
OG0012392,NA,NA,intensified,NA,NA,NA,NA,NA,NUPL2,3,3
OG0012402,NA,NA,intensified,NA,NA,NA,NA,NA,NSUN5,3,3
OG0012433,NA,NA,intensified,NA,NA,NA,NA,NA,TAX1BP3,3,3
OG0012446,NA,NA,intensified,NA,NA,NA,NA,NA,PPP2R3C,3,3
OG0012461,NA,NA,intensified,NA,NA,NA,NA,NA,EPHX2,3,3
OG0012463,NA,NA,intensified,NA,NA,NA,NA,NA,SHPRH,3,3
OG0012473,NA,NA,intensified,NA,NA,NA,NA,NA,TRMT61B,3,3
OG0012486,NA,NA,intensified,NA,NA,NA,NA,NA,SYT15,3,3
OG0012504,NA,NA,intensified,NA,NA,NA,pigmentation,NA,MPZL3,3,3
OG0012510,NA,NA,intensified,NA,NA,NA,NA,NA,METTL16,3,3
OG0012515,NA,NA,intensified,NA,NA,NA,NA,NA,DHX16,3,3
OG0012521,NA,NA,intensified,NA,NA,NA,NA,NA,FTCDNL1,3,3
OG0012528,NA,NA,intensified,NA,NA,NA,NA,NA,DNAJC15,3,3
OG0012529,NA,NA,intensified,NA,NA,NA,NA,NA,NA,3,3
OG0012548,NA,NA,intensified,NA,NA,NA,NA,NA,DECR2,3,3
OG0012549,NA,NA,intensified,NA,NA,NA,NA,NA,ANKS3,3,3
OG0012575,NA,NA,intensified,NA,NA,NA,NA,NA,C8B,3,3
OG0012590,NA,NA,intensified,NA,NA,NA,NA,NA,FASTKD3,3,3
OG0012604,NA,NA,intensified,NA,NA,NA,NA,NA,GOLGA5,3,3
OG0012610,NA,NA,intensified,NA,NA,NA,NA,NA,ABCG8,3,3
OG0012641,NA,NA,intensified,NA,NA,NA,NA,NA,NA,3,3
OG0012648,NA,NA,intensified,NA,NA,NA,NA,NA,GINS2,3,3
OG0012668,NA,NA,intensified,NA,NA,NA,NA,NA,TMEM150B,3,3
OG0012673,NA,NA,intensified,NA,NA,NA,NA,NA,RABEP2,3,3
OG0012700,NA,NA,intensified,NA,NA,NA,NA,NA,PPP1R15B,3,3
OG0012728,NA,NA,intensified,NA,NA,NA,NA,NA,HSD17B8,3,3
OG0012729,NA,NA,intensified,NA,NA,NA,NA,NA,TMEM119,3,3
OG0012773,NA,NA,intensified,NA,NA,NA,NA,NA,NAPEPLD,3,3
OG0012775,NA,NA,intensified,NA,NA,NA,NA,NA,CLCF1,3,3
OG0012786,NA,NA,intensified,NA,NA,NA,NA,NA,VASH2,3,3
OG0012815,NA,NA,intensified,NA,NA,NA,pigmentation,NA,ASIP,3,3
OG0012853,NA,NA,intensified,NA,NA,NA,NA,NA,IPO11,3,3
OG0012861,NA,NA,intensified,NA,NA,NA,NA,NA,MBD4,3,3
OG0012883,NA,NA,intensified,NA,NA,NA,NA,NA,SS18L2,3,3
OG0012886,NA,NA,intensified,NA,NA,NA,NA,NA,AAED1,3,3
OG0012907,NA,NA,intensified,NA,NA,NA,NA,NA,AUNIP,3,3
OG0012912,NA,NA,intensified,NA,NA,NA,NA,NA,C9orf142,3,3
OG0012955,NA,NA,intensified,NA,NA,NA,NA,NA,ANKRD49,3,3
OG0012960,NA,NA,intensified,NA,NA,NA,NA,NA,DTWD2,3,3
OG0012972,NA,NA,intensified,NA,NA,NA,NA,NA,CPSF3L,3,3
OG0012973,NA,NA,intensified,NA,NA,NA,NA,NA,SARS,3,3
OG0012999,NA,NA,intensified,NA,NA,NA,NA,NA,TMEM173,3,3
OG0013073,NA,NA,intensified,NA,NA,NA,pigmentation,NA,NSDHL,3,3
OG0013075,NA,NA,intensified,NA,NA,NA,NA,NA,PRPF19,3,3
OG0013079,NA,NA,intensified,NA,NA,NA,NA,NA,MTL5,3,3
OG0013098,NA,NA,intensified,NA,NA,NA,NA,NA,CIR1,3,3
OG0013101,NA,NA,intensified,NA,NA,NA,pigmentation,NA,SMARCAL1,3,3
OG0013106,NA,NA,intensified,NA,NA,NA,NA,NA,CMSS1,3,3
OG0013127,NA,NA,intensified,NA,NA,NA,NA,NA,TMIE,3,3
OG0013143,NA,NA,intensified,NA,NA,NA,NA,NA,TMEM234,3,3
OG0013147,NA,NA,intensified,NA,NA,NA,NA,NA,TYSND1,3,3
OG0013151,NA,NA,intensified,NA,NA,NA,NA,NA,PCNXL2,3,3
OG0013180,NA,NA,intensified,NA,NA,NA,NA,NA,STX18,3,3
OG0013193,NA,NA,intensified,NA,NA,NA,NA,NA,PUSL1,3,3
OG0013267,NA,NA,intensified,NA,NA,NA,NA,NA,CCDC122,3,3
OG0013278,NA,NA,intensified,NA,NA,NA,NA,NA,TRIAP1,3,3
OG0013285,NA,NA,intensified,NA,NA,NA,NA,NA,HAPLN2,3,3
OG0013343,NA,NA,intensified,NA,NA,NA,NA,NA,FAM103A1,3,3
OG0013379,NA,NA,intensified,NA,NA,NA,NA,NA,POLL,3,3
OG0013382,NA,NA,intensified,NA,NA,NA,NA,eyeloss,RNF144B,3,3
OG0013388,NA,NA,intensified,NA,NA,NA,NA,NA,MRPL37,3,3
OG0013394,NA,NA,intensified,NA,NA,NA,NA,NA,MRPL34,3,3
OG0013441,NA,NA,intensified,NA,NA,NA,NA,NA,TMEM218,3,3
OG0013445,NA,NA,intensified,NA,NA,NA,NA,NA,OVCA2,3,3
OG0013457,NA,NA,intensified,NA,NA,NA,NA,NA,TMEM44,3,3
OG0013461,NA,NA,intensified,NA,NA,NA,NA,NA,WDR25,3,3
OG0013467,NA,NA,intensified,NA,NA,NA,NA,NA,JMJD7,3,3
OG0013470,NA,NA,intensified,NA,NA,NA,NA,NA,C14orf1,3,3
OG0013472,NA,NA,intensified,NA,NA,NA,NA,NA,PKMYT1,3,3
OG0013483,NA,NA,intensified,NA,NA,NA,NA,NA,NA,3,3
OG0013520,NA,NA,intensified,NA,NA,NA,NA,NA,ANKRD53,3,3
OG0013523,NA,NA,intensified,NA,NA,NA,NA,NA,NAGK,3,3
OG0013526,NA,NA,intensified,NA,NA,NA,NA,NA,DAK,3,3
OG0013569,NA,NA,intensified,NA,NA,NA,NA,NA,SETD7,3,3
OG0013596,NA,NA,intensified,NA,NA,NA,NA,NA,CREG2,3,3
OG0013604,NA,NA,intensified,NA,NA,NA,NA,NA,CCNDBP1,3,3
OG0013605,NA,NA,intensified,NA,NA,NA,NA,NA,ZGLP1,3,3
OG0013679,NA,NA,intensified,NA,NA,NA,NA,NA,SAMD15,3,3
OG0013696,NA,NA,intensified,NA,NA,NA,NA,NA,TMEM141,3,3
OG0013712,NA,NA,intensified,NA,NA,NA,NA,NA,REG4,3,3
OG0013726,NA,NA,intensified,NA,NA,NA,NA,NA,MEIKIN,3,3
OG0013741,NA,NA,intensified,NA,NA,NA,NA,NA,NA,3,3
OG0013743,NA,NA,intensified,NA,NA,NA,NA,NA,CKAP4,3,3
OG0013747,NA,NA,intensified,NA,NA,NA,NA,NA,ENDOV,3,3
OG0013850,NA,NA,intensified,NA,NA,NA,NA,NA,HTD2,3,3
OG0013898,NA,NA,intensified,NA,NA,NA,NA,NA,GLA,3,3
OG0013913,NA,NA,intensified,NA,NA,NA,NA,NA,SLC10A3,3,3
OG0014022,NA,NA,intensified,NA,NA,NA,NA,NA,BHMG1,3,3
OG0014134,NA,NA,intensified,NA,NA,NA,NA,NA,VSTM5,3,3
OG0014154,NA,NA,intensified,NA,NA,NA,NA,NA,NA,3,3
OG0014195,NA,NA,intensified,NA,NA,NA,NA,NA,VSIG10L,3,3
OG0014288,NA,NA,intensified,NA,NA,NA,NA,NA,XBP1,3,3
OG0000017,NA,NA,NA,NA,NA,NA,pigmentation,NA,PCDH10,4,2
OG0000075,NA,NA,NA,NA,NA,contracted,NA,NA,NA,3,3
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,3,3
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,3,3
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,4,2
OG0000179,NA,NA,NA,expanded,NA,NA,NA,NA,NA,3,3
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,3,3
OG0000236,NA,NA,NA,NA,NA,NA,NA,eyeloss,PLAC8,4,2
OG0000258,NA,NA,NA,expanded,NA,NA,NA,NA,TPM1,3,3
OG0000263,NA,NA,NA,NA,NA,NA,NA,eyeloss,ABI2,4,2
OG0000266,NA,NA,NA,NA,NA,NA,pigmentation,NA,RAB11B,4,2
OG0000282,NA,NA,NA,expanded,NA,NA,NA,NA,SLC5A9,3,3
OG0000288,NA,NA,NA,NA,NA,NA,NA,eyeloss,PIP5K1C,4,2
OG0000295,NA,NA,NA,NA,NA,NA,pigmentation,NA,SRC,4,2
OG0000316,NA,NA,NA,NA,NA,NA,pigmentation,NA,SLC2A11,4,2
OG0000350,NA,NA,NA,NA,NA,NA,pigmentation,NA,MASP1,4,2
OG0000363,NA,NA,NA,NA,NA,NA,NA,eyeloss,ACSL5,4,2
OG0000373,NA,NA,NA,NA,NA,NA,pigmentation,NA,PKN2,4,2
OG0000375,NA,NA,NA,NA,NA,NA,NA,eyeloss,HMGB3,4,2
OG0000397,NA,NA,NA,NA,NA,NA,pigmentation,eyeloss,KIF5A,4,2
OG0000415,NA,NA,NA,NA,NA,NA,pigmentation,eyeloss,CHD7,4,2
OG0000416,NA,NA,NA,NA,NA,NA,pigmentation,NA,RAC1,4,2
OG0000454,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRAS,4,2
OG0000458,NA,NA,NA,NA,NA,NA,NA,eyeloss,TCF4,4,2
OG0000465,NA,NA,NA,NA,NA,NA,NA,eyeloss,SEMA3F,4,2
OG0000498,NA,NA,NA,expanded,NA,NA,NA,NA,NA,3,3
OG0000503,NA,NA,NA,NA,NA,NA,pigmentation,NA,ALDOA,4,2
OG0000527,NA,NA,NA,expanded,NA,NA,NA,NA,SLC22A6,3,3
OG0000558,NA,NA,NA,NA,NA,NA,pigmentation,NA,RAB8A,4,2
OG0000582,NA,NA,NA,expanded,NA,NA,NA,NA,GPR116,3,3
OG0000587,NA,NA,NA,NA,NA,NA,pigmentation,NA,GJA4,4,2
OG0000589,NA,NA,NA,NA,NA,NA,NA,eyeloss,NCALD,4,2
OG0000594,NA,NA,NA,NA,NA,NA,pigmentation,NA,RAB32,4,2
OG0000604,NA,NA,NA,NA,NA,NA,pigmentation,NA,MYO5A,4,2
OG0000607,NA,NA,NA,NA,NA,NA,pigmentation,NA,RAB1A,4,2
OG0000617,NA,NA,NA,NA,NA,NA,pigmentation,NA,CTBP2,4,2
OG0000623,NA,NA,NA,expanded,NA,NA,NA,NA,KCNJ9,3,3
OG0000676,NA,NA,NA,NA,NA,NA,pigmentation,NA,NOTCH1,4,2
OG0000683,NA,NA,NA,NA,NA,NA,pigmentation,eyeloss,SHH,4,2
OG0000698,NA,NA,NA,NA,NA,NA,NA,eyeloss,FAM49B,4,2
OG0000707,NA,NA,NA,NA,NA,NA,pigmentation,NA,EDNRB,4,2
OG0000708,NA,NA,NA,NA,NA,NA,pigmentation,NA,ITGB1,4,2
OG0000710,NA,NA,NA,NA,NA,NA,pigmentation,NA,SLC22A7,4,2
OG0000713,NA,NA,NA,expanded,NA,NA,NA,NA,NANOS1,3,3
OG0000721,NA,NA,NA,NA,NA,NA,pigmentation,NA,PAK1,4,2
OG0000745,NA,NA,NA,NA,NA,NA,pigmentation,NA,DRD2,4,2
OG0000776,NA,NA,NA,expanded,NA,NA,NA,NA,NA,3,3
OG0000800,NA,NA,NA,NA,NA,NA,pigmentation,NA,CTNNB1,4,2
OG0000801,NA,NA,NA,NA,NA,NA,pigmentation,NA,EN1,4,2
OG0000823,NA,NA,NA,NA,NA,NA,pigmentation,NA,ACVR2A,4,2
OG0000827,NA,NA,NA,NA,NA,NA,pigmentation,NA,PICALM,4,2
OG0000856,NA,NA,NA,NA,NA,NA,pigmentation,eyeloss,ZIC2,4,2
OG0000863,NA,NA,NA,NA,NA,NA,pigmentation,NA,GNAS,4,2
OG0000866,NA,NA,NA,NA,NA,NA,pigmentation,NA,TSHR,4,2
OG0000902,NA,NA,NA,NA,NA,NA,pigmentation,NA,PAX7,4,2
OG0000927,NA,NA,NA,NA,NA,NA,NA,eyeloss,LAMB1,4,2
OG0000953,NA,NA,NA,NA,NA,NA,pigmentation,NA,RAB6A,4,2
OG0000955,NA,NA,NA,NA,NA,NA,pigmentation,NA,ERC1,4,2
OG0000971,NA,NA,NA,NA,NA,NA,NA,eyeloss,PAX2,4,2
OG0000982,NA,NA,NA,NA,NA,NA,NA,eyeloss,COL4A5,4,2
OG0001001,NA,NA,NA,NA,NA,NA,NA,eyeloss,MPDZ,4,2
OG0001010,NA,NA,NA,NA,NA,NA,pigmentation,NA,SYTL2,4,2
OG0001022,NA,NA,NA,expanded,NA,NA,NA,NA,NA,3,3
OG0001027,NA,NA,NA,NA,NA,NA,NA,eyeloss,SIX3,4,2
OG0001034,NA,NA,NA,NA,NA,NA,pigmentation,NA,FOXD3,4,2
OG0001038,NA,NA,NA,NA,NA,NA,pigmentation,NA,SMARCA4,4,2
OG0001042,NA,NA,NA,NA,NA,NA,NA,eyeloss,HNF4A,4,2
OG0001044,NA,NA,NA,NA,NA,NA,pigmentation,NA,AP1M1,4,2
OG0001056,NA,NA,NA,NA,NA,NA,pigmentation,NA,ATRN,4,2
OG0001067,NA,NA,NA,NA,NA,NA,NA,eyeloss,CDH4,4,2
OG0001086,NA,NA,NA,NA,NA,NA,pigmentation,NA,PTPN6,4,2
OG0001091,NA,NA,NA,NA,NA,NA,pigmentation,NA,HDAC2,4,2
OG0001093,NA,NA,NA,NA,NA,NA,NA,eyeloss,JMJD1C,4,2
OG0001107,NA,NA,NA,NA,NA,NA,NA,eyeloss,BMP2K,4,2
OG0001115,NA,NA,NA,NA,NA,NA,NA,eyeloss,FBP2,4,2
OG0001116,NA,NA,NA,NA,NA,NA,NA,eyeloss,FGF10,4,2
OG0001119,NA,NA,NA,NA,NA,NA,NA,eyeloss,GLI2,4,2
OG0001124,NA,NA,NA,NA,NA,NA,pigmentation,NA,SCUBE2,4,2
OG0001127,NA,NA,NA,expanded,NA,NA,NA,NA,PPY,3,3
OG0001168,NA,NA,NA,NA,NA,NA,pigmentation,NA,TBX19,4,2
OG0001185,NA,NA,NA,NA,NA,NA,pigmentation,NA,BNC2,4,2
OG0001186,NA,NA,NA,NA,NA,NA,NA,eyeloss,GRM3,4,2
OG0001191,NA,NA,NA,NA,NA,NA,NA,eyeloss,ZNF503,4,2
OG0001200,NA,NA,NA,NA,NA,NA,pigmentation,eyeloss,MYO10,4,2
OG0001203,NA,NA,NA,NA,NA,NA,NA,eyeloss,PRC1,4,2
OG0001204,NA,NA,NA,NA,NA,NA,NA,eyeloss,NODAL,4,2
OG0001223,NA,NA,NA,NA,NA,NA,pigmentation,NA,HTR2A,4,2
OG0001236,NA,NA,NA,NA,NA,NA,pigmentation,NA,TBC1D10B,4,2
OG0001243,NA,NA,NA,NA,NA,NA,pigmentation,NA,IMPDH1,4,2
OG0001294,NA,NA,NA,NA,NA,NA,pigmentation,NA,PRICKLE2,4,2
OG0001306,NA,NA,NA,NA,NA,NA,NA,eyeloss,HIP1R,4,2
OG0001308,NA,NA,NA,NA,NA,NA,NA,eyeloss,NDFIP2,4,2
OG0001315,NA,NA,NA,NA,NA,NA,pigmentation,NA,ADCY5,4,2
OG0001317,NA,NA,NA,NA,NA,NA,pigmentation,NA,HIPK2,4,2
OG0001324,NA,NA,NA,expanded,NA,NA,NA,NA,IGLL1,3,3
OG0001335,NA,NA,NA,NA,NA,NA,NA,eyeloss,MAPKAPK2,4,2
OG0001358,NA,NA,NA,NA,NA,NA,NA,eyeloss,TOMM40,4,2
OG0001364,NA,NA,NA,NA,NA,NA,pigmentation,NA,SULF1,4,2
OG0001371,NA,NA,NA,NA,NA,NA,NA,eyeloss,FGF2,4,2
OG0001372,NA,NA,NA,NA,NA,NA,NA,eyeloss,MAF,4,2
OG0001383,NA,NA,NA,NA,NA,NA,pigmentation,eyeloss,FREM2,4,2
OG0001393,NA,NA,NA,NA,NA,NA,pigmentation,NA,STX12,4,2
OG0001432,NA,NA,NA,NA,NA,NA,pigmentation,NA,MAP2K2,4,2
OG0001447,NA,NA,NA,NA,NA,NA,NA,eyeloss,RBFOX1,4,2
OG0001479,NA,NA,NA,NA,NA,NA,pigmentation,NA,SPRED1,4,2
OG0001487,NA,NA,NA,NA,NA,NA,NA,eyeloss,TMEM63B,4,2
OG0001498,NA,NA,NA,NA,NA,NA,pigmentation,NA,RAB36,4,2
OG0001520,NA,NA,NA,NA,NA,NA,NA,eyeloss,PIEZO2,4,2
OG0001531,NA,NA,NA,NA,NA,contracted,NA,NA,IGLL5,3,3
OG0001542,NA,NA,NA,NA,NA,NA,pigmentation,NA,NR0B1,4,2
OG0001543,NA,NA,NA,NA,NA,NA,pigmentation,NA,MMP17,4,2
OG0001545,NA,NA,NA,NA,NA,NA,pigmentation,eyeloss,RAX,4,2
OG0001554,NA,NA,NA,NA,NA,NA,pigmentation,NA,ADAM10,4,2
OG0001564,NA,NA,NA,NA,NA,NA,NA,eyeloss,BMP4,4,2
OG0001568,NA,NA,NA,NA,NA,NA,pigmentation,NA,HOXA13,4,2
OG0001569,NA,NA,NA,NA,NA,NA,NA,eyeloss,PFN1,4,2
OG0001582,NA,NA,NA,expanded,NA,NA,NA,NA,ASCC3,3,3
OG0001584,NA,NA,NA,NA,NA,NA,pigmentation,NA,SLC12A2,4,2
OG0001588,NA,NA,NA,NA,NA,NA,NA,eyeloss,CRIM1,4,2
OG0001597,NA,NA,NA,NA,NA,NA,pigmentation,NA,RAB9A,4,2
OG0001598,NA,NA,NA,NA,NA,NA,pigmentation,NA,VANGL1,4,2
OG0001617,NA,NA,NA,NA,NA,NA,NA,eyeloss,GJA3,4,2
OG0001623,NA,NA,NA,expanded,NA,NA,NA,NA,NA,3,3
OG0001630,NA,NA,NA,NA,NA,NA,pigmentation,NA,RAPGEF2,4,2
OG0001634,NA,NA,NA,NA,NA,NA,pigmentation,NA,LHX2,4,2
OG0001646,NA,NA,NA,NA,NA,NA,pigmentation,NA,HTRA1,4,2
OG0001647,NA,NA,NA,NA,NA,NA,NA,eyeloss,ATP11A,4,2
OG0001663,NA,NA,NA,NA,NA,NA,NA,eyeloss,CLSTN1,4,2
OG0001665,NA,NA,NA,expanded,NA,NA,NA,NA,FARP1,3,3
OG0001670,NA,NA,NA,expanded,NA,NA,NA,NA,FHL5,3,3
OG0001689,NA,NA,NA,expanded,NA,NA,NA,NA,NLRP6,3,3
OG0001710,NA,NA,NA,NA,NA,NA,pigmentation,NA,SCARB2,4,2
OG0001714,NA,NA,NA,NA,NA,NA,NA,eyeloss,SATB1,4,2
OG0001761,NA,NA,NA,NA,NA,NA,pigmentation,NA,POGZ,4,2
OG0001784,NA,NA,NA,NA,NA,NA,pigmentation,NA,SAMD9,4,2
OG0001796,NA,NA,NA,NA,NA,NA,pigmentation,NA,IKBKB,4,2
OG0001803,NA,NA,NA,expanded,NA,NA,NA,NA,NA,3,3
OG0001810,NA,NA,NA,NA,NA,NA,pigmentation,NA,CIB2,4,2
OG0001813,NA,NA,NA,NA,NA,NA,pigmentation,NA,DOCK7,4,2
OG0001824,NA,NA,NA,NA,NA,NA,pigmentation,NA,CYP11A1,4,2
OG0001843,NA,NA,NA,NA,NA,NA,pigmentation,NA,MFN2,4,2
OG0001848,NA,NA,NA,NA,NA,NA,pigmentation,NA,IDH2,4,2
OG0001868,NA,NA,NA,NA,NA,NA,NA,eyeloss,RHBDF1,4,2
OG0001869,NA,NA,NA,NA,NA,NA,pigmentation,eyeloss,CDC42,4,2
OG0001883,NA,NA,NA,NA,NA,NA,pigmentation,NA,THRA,4,2
OG0001884,NA,NA,NA,expanded,NA,NA,NA,NA,ITGA9,3,3
OG0001892,NA,NA,NA,NA,NA,NA,pigmentation,NA,RAB7A,4,2
OG0001893,NA,NA,NA,NA,NA,NA,pigmentation,NA,TAF4,4,2
OG0001915,NA,NA,NA,NA,NA,NA,pigmentation,NA,HES1,4,2
OG0001942,NA,NA,NA,NA,NA,NA,pigmentation,NA,DYNLT3,4,2
OG0001955,NA,NA,NA,NA,NA,NA,pigmentation,NA,UCHL3,4,2
OG0001956,NA,NA,NA,NA,NA,NA,NA,eyeloss,RNF38,4,2
OG0001959,NA,NA,NA,NA,NA,NA,NA,eyeloss,RAB35,4,2
OG0001980,NA,NA,NA,NA,NA,NA,NA,eyeloss,ELL2,4,2
OG0001987,NA,NA,NA,NA,NA,NA,pigmentation,NA,CAV1,4,2
OG0001988,NA,NA,NA,NA,NA,NA,NA,eyeloss,RAB19,4,2
OG0001993,NA,NA,NA,NA,NA,NA,pigmentation,NA,IRF4,4,2
OG0001995,NA,NA,NA,NA,NA,NA,NA,eyeloss,YAP1,4,2
OG0002043,NA,NA,NA,NA,NA,NA,NA,eyeloss,SMURF2,4,2
OG0002050,NA,NA,NA,NA,NA,NA,pigmentation,eyeloss,RAF1,4,2
OG0002091,NA,NA,NA,NA,NA,NA,NA,eyeloss,NFKB1,4,2
OG0002094,NA,NA,NA,NA,NA,NA,NA,eyeloss,FOXC1,4,2
OG0002110,NA,NA,NA,NA,NA,NA,pigmentation,NA,TP63,4,2
OG0002120,NA,NA,NA,NA,NA,NA,pigmentation,eyeloss,PTCH1,4,2
OG0002150,NA,NA,NA,NA,NA,NA,pigmentation,NA,ATP6AP1,4,2
OG0002156,NA,NA,NA,NA,NA,NA,pigmentation,NA,ATP7A,4,2
OG0002161,NA,NA,NA,expanded,NA,NA,NA,NA,NA,3,3
OG0002207,NA,NA,NA,NA,NA,NA,pigmentation,NA,RAB27A,4,2
OG0002212,NA,NA,NA,NA,NA,NA,NA,eyeloss,LAMC1,4,2
OG0002241,NA,NA,NA,NA,NA,NA,pigmentation,NA,CTSD,4,2
OG0002244,NA,NA,NA,expanded,NA,NA,NA,NA,GSE1,3,3
