gene_symbol,OG_ID,analysis_absrel,analysis_relax_selection,analysis_paml,analysis_cafe_expanded,analysis_relax_relaxed,analysis_cafe_contracted,count_sel,count_rel,condition,TargetSpecies_Count,Reference_Count
SEMA4C,OG0009304,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SEMA6B,OG0005400,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SENP6,OG0004083,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SERAC1,OG0008736,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SERPINC1,OG0005235,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SETD2,OG0005160,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SETX,OG0004097,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SFXN5,OG0005884,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SH3RF2,OG0011919,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SH3TC2,OG0007432,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SIPA1,OG0012204,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SKIV2L,OG0005387,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SLC13A4,OG0008190,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SLC18B1,OG0004572,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SLC26A4,OG0009402,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SLC3A2,OG0003128,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SLC46A3,OG0007654,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SLMAP,OG0007936,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SMPDL3B,OG0007328,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SNX29,OG0004802,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SORBS1,OG0004536,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SPAG17,OG0007015,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SPAG5,OG0005616,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SPAG8,OG0011669,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
SPATA17,OG0006772,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SPATA18,OG0006542,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SPEF2,OG0003956,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SPG11,OG0010739,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SPOCK2,OG0006487,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SRRM2,OG0008057,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ST18,OG0007334,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
STAC,OG0006124,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
STIP1,OG0011078,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
STK11IP,OG0006204,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
STX11,OG0008368,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SUGP2,OG0004133,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SUN2,OG0010092,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SVEP1,OG0006981,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SYNM,OG0012114,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SYNPO,OG0006635,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SYNRG,OG0005372,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
SYTL2,OG0012335,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SYTL3,OG0005385,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
SZT2,OG0003451,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TAF6L,OG0009943,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TATDN2,OG0009594,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TBX20,OG0009524,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TC2N,OG0005741,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TCEANC,OG0005737,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
TCHP,OG0011394,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TCOF1,OG0011872,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TCTN1,OG0010569,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TDRD15,OG0012201,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TDRD6,OG0011920,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TERF2IP,OG0010650,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TERT,OG0009802,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TGFB1,OG0005957,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TGM2,OG0004426,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
THEG,OG0011612,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
THEMIS2,OG0009559,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TMEM171,OG0011876,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TMEM192,OG0007085,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TMEM214,OG0009318,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TMEM232,OG0011630,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TMEM81,OG0010818,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TMPRSS9,OG0007821,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TNFRSF11A,OG0011361,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TNIP3,OG0012425,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TNS1,OG0004035,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TNS4,OG0010108,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TOPAZ1,OG0009714,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TOPBP1,OG0006657,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TPX2,OG0004318,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TRAF6,OG0009465,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TRANK1,OG0008122,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TRIM37,OG0010873,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TRIM66,OG0005149,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TRIP11,OG0009501,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TRMT1,OG0009836,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TRMT5,OG0010517,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TSC1,OG0007629,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TSGA13,OG0012693,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TSR2,OG0004174,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TTBK2,OG0004586,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TUBGCP6,OG0004769,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
TUT1,OG0008936,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
TWISTNB,OG0008398,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
UACA,OG0009607,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
UBE2J1,OG0007388,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
URB2,OG0006307,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
USP19,OG0003714,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
UTP18,OG0011506,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
VCAN,OG0007610,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
VGLL1,OG0006266,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
VPS13B,OG0002744,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
VPS16,OG0010875,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
VWA3B,OG0010954,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
VWA8,OG0006661,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
VWF,OG0009497,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
WDHD1,OG0010599,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
WDR1,OG0009030,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
WDR11,OG0011471,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
WDR18,OG0009190,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
WDR63,OG0009711,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
WDR75,OG0008066,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
WDR78,OG0006915,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
WDR81,OG0009308,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
WDYHV1,OG0009893,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
WRN,OG0011439,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
XPNPEP2,OG0010956,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
XRCC1,OG0006672,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
XRCC5,OG0007320,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
YLPM1,OG0004598,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ZBTB17,OG0005408,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ZBTB41,OG0007373,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ZBTB8A,OG0004053,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
ZDHHC4,OG0009341,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ZEB1,OG0005766,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ZFC3H1,OG0011456,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ZFYVE9,OG0004963,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ZHX2,OG0009346,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ZMYND12,OG0010932,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ZNF142,OG0010328,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ZNF407,OG0004863,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ZNF438,OG0010437,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ZNF518A,OG0005210,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ZNF518B,OG0011657,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ZNF653,OG0008825,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ZNF800,OG0007175,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ZNF804A,OG0006882,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ZNF804B,OG0011700,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ABCC4,OG0000733,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ABI3,OG0004220,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ABRACL,OG0006759,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ACKR4,OG0004648,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ADAT3,OG0011617,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
AGTR1,OG0005892,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
AHCY,OG0011058,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ALDH7A1,OG0005131,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
AMOTL2,OG0005426,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
APC2,OG0007527,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
APOC2,OG0012273,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
APOD,OG0003769,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ARHGAP19,OG0004449,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ARHGAP22,OG0009326,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ARHGEF37,OG0005471,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ARHGEF6,OG0010231,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ARID5B,OG0005607,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ASAP3,OG0011949,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ATG5,OG0010453,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ATXN1,OG0005974,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
AUP1,OG0007101,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
BIN2,OG0004671,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
BLOC1S3,OG0011253,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
BVES,OG0009080,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
C11orf1,OG0011543,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
C19orf25,OG0011852,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
C1QTNF5,OG0008032,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CBLL1,OG0004301,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CCDC171,OG0003750,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CCDC25,OG0010227,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CCDC81,OG0008411,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CCPG1,OG0007551,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CDK5RAP1,OG0007476,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CERKL,OG0008949,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CHAC1,OG0008563,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CHST10,OG0006914,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CLCN6,OG0009270,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CLRN1,OG0009721,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CNGA4,OG0011950,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CPSF7,OG0011371,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CRTAM,OG0011917,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CST7,OG0009670,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CTTNBP2NL,OG0004813,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CXCR4,OG0006142,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
CYP7A1,OG0005039,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
DAZAP2,OG0006109,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
DDHD1,OG0004388,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
DDX18,OG0004340,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
DKK3,OG0006102,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
DMRTB1,OG0012195,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
DOK2,OG0008141,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
DOT1L,OG0008927,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
DSEL,OG0006420,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
DUSP19,OG0005942,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
EDRF1,OG0006101,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
EEA1,OG0009494,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
EED,OG0007403,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
EGF,OG0009182,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
EGFLAM,OG0009200,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
EIF5B,OG0007921,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ERGIC2,OG0006515,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ERRFI1,OG0009562,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ETFDH,OG0007152,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
EXOC5,OG0009070,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
FAM135B,OG0003829,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
FAM187B,OG0011916,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
FAM84A,OG0007186,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
FAM84B,OG0004201,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
FARSB,OG0008578,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
FH,OG0005962,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
FRG1,OG0004417,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
FZD6,OG0009395,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
G6PC3,OG0010066,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
G6PD,OG0005376,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
GATA2,OG0006313,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
GEMIN7,OG0006768,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
GFM1,OG0008891,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
GINS4,OG0010677,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
GNPTAB,OG0009054,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
GPI,OG0005341,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
GPR119,OG0011495,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
GPR155,OG0004927,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
GTF3C1,OG0007292,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
HADHB,OG0008806,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
HAPLN4,OG0011318,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
HAUS4,OG0011224,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
HBS1L,OG0007102,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
HDX,OG0007607,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
HIPK4,OG0009525,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
HNF1A,OG0011958,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
HSPBAP1,OG0005155,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
IARS,OG0007145,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
IBTK,OG0009305,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
IGF2,OG0011070,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
IMPAD1,OG0005868,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
INTS1,OG0010744,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
INTS12,OG0007282,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
INVS,OG0007153,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ITGA8,OG0011449,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
KANSL1,OG0004390,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
KAT6A,OG0008540,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
KIAA0930,OG0008999,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
KIAA1958,OG0003863,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
KIDINS220,OG0006650,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
LARP6,OG0009398,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
LNX1,OG0007852,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
LPCAT4,OG0011795,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
LRIG1,OG0010806,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
LRRC17,OG0009613,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
LRRK1,OG0005670,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
LTA4H,OG0006388,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MAPK4,OG0006117,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MBOAT4,OG0006984,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MCCC2,OG0009768,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MCM6,OG0005450,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MFF,OG0006226,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MFSD5,OG0010994,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MFSD9,OG0006771,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MGAT2,OG0010617,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MGP,OG0006036,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MORN5,OG0006900,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MRPL44,OG0008599,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MRPL47,OG0008785,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MRPS5,OG0009736,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MRPS7,OG0007121,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MTOR,OG0007474,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
MYADML2,OG0007574,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NAA25,OG0009446,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NAGS,OG0011168,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NAMPT,OG0003355,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NAV1,OG0005694,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NCOA3,OG0009377,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NEDD9,OG0006018,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NEURL2,OG0008409,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NHS,OG0004578,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NMD3,OG0010356,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NOD1,OG0003826,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NSFL1C,OG0004651,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NUDT5,OG0009542,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NUP205,OG0010281,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
NUP85,OG0006224,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
OPTN,OG0004091,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
OXA1L,OG0007394,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PARP1,OG0006843,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PCDH19,OG0010714,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PCF11,OG0006072,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PCM1,OG0004527,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PDCD10,OG0004767,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PDE7A,OG0004040,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PDGFRB,OG0010636,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PGM2L1,OG0009854,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PHEX,OG0007259,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PLAA,OG0010508,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PLBD1,OG0008287,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PLCXD2,OG0011265,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PLEKHA8,OG0008984,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PLXNC1,OG0004489,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PNPLA8,OG0005437,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
POMGNT2,OG0008781,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PPARGC1A,OG0006422,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PPP1R36,OG0012052,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PRTG,OG0005789,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PSMG2,OG0009822,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PTEN,OG0003720,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
PUS10,OG0007072,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
RABEP2,OG0006512,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
RAD50,OG0011313,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
RAD51AP1,OG0007405,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
RNF26,OG0008828,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
RNF6,OG0010230,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
RNFT2,OG0009155,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
ROBO1,OG0006619,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,1,1
